County,State,FIPS Code,Vehicles / 5sqmi
Essex,NY,36,2 - 5
Warren,IN,18,0 - 10
Stark,ND,38,10 - 25
Big Stone,MN,27,2 - 5
Grant,WV,54,0 - 10
Sutter,CA,6,25 - 50
Missaukee,MI,26,0 - 10
Jasper,IA,19,10 - 25
Trinity,CA,6,0 - 2
Cleveland,OK,40,10 - 100
Meade,SD,46,2 - 5
Hutchinson,SD,46,2 - 5
McPherson,SD,46,0 - 2
San Patricio,TX,48,25 - 50
Garfield,UT,49,0 - 2
Kootenai,ID,16,25 - 50
Waldo,ME,23,0 - 10
Delta,CO,8,10 - 25
Somerset,PA,42,10 - 25
Blair,PA,42,25 - 50
Richmond,VA,51,2 - 5
Richmond,VA,51,10 - 100
Hamilton,TX,48,0 - 10
Columbia,OR,41,25 - 50
Grayson,KY,21,10 - 25
Florence,SC,45,10 - 25
Ford,IL,17,0 - 10
Rock,MN,27,0 - 10
Caroline,VA,51,0 - 10
Lee,GA,13,10 - 25
Elbert,GA,13,0 - 10
Sullivan,PA,42,2 - 5
Norfolk,VA,51,100 - 200
Green,KY,21,0 - 10
Wright,IA,19,0 - 10
Linn,OR,41,10 - 25
Somerset,NJ,34,10 - 100
Carroll,VA,51,10 - 25
Bay,FL,12,10 - 25
Lincoln,NC,37,10 - 100
Cheyenne,NE,31,2 - 5
Rice,KS,20,2 - 5
Todd,SD,46,0 - 2
Kemper,MS,28,0 - 2
Adair,MO,29,0 - 10
Oxford,ME,23,2 - 5
Lafayette,AR,5,2 - 5
Maui,HI,15,0 - 10
Harrison,WV,54,25 - 50
Montgomery,IL,17,0 - 10
Lawrence,MS,28,0 - 10
Hidalgo,NM,35,0 - 2
Morgan,KY,21,0 - 10
Caddo,LA,22,25 - 50
Ellsworth,KS,20,2 - 5
Traverse,MN,27,0 - 2
Oneida,ID,16,2 - 5
Calhoun,WV,54,0 - 10
Wharton,TX,48,10 - 25
Emery,UT,49,0 - 2
Lincoln,NV,32,0 - 2
Cowley,KS,20,0 - 10
Graham,KS,20,0 - 2
Franklin,PA,42,25 - 50
Lincoln,MS,28,10 - 25
Beaver,UT,49,0 - 2
Moffat,CO,8,0 - 2
Cape May,NJ,34,10 - 25
Harris,GA,13,10 - 25
Jefferson,KY,21,100 - 200
Orange,NY,36,25 - 50
Pennington,SD,46,10 - 25
Crook,WY,56,2 - 5
Armstrong,PA,42,10 - 25
Franklin,OH,39,10 - 100
Ouachita,AR,5,2 - 5
Otsego,NY,36,0 - 10
Los Angeles,CA,6,100 - 200
Boyle,KY,21,25 - 50
Sumter,SC,45,10 - 25
Pennington,MN,27,2 - 5
Loudoun,VA,51,10 - 100
Pinellas,FL,12,100 - 200
Coconino,AZ,4,0 - 2
Brunswick,VA,51,2 - 5
Mitchell,TX,48,2 - 5
Johnson,IA,19,10 - 25
Calumet,WI,55,10 - 25
Lincoln,AR,5,2 - 5
Watonwan,MN,27,0 - 10
Green,WI,55,10 - 25
Oliver,ND,38,0 - 2
Dickson,TN,47,10 - 25
Lawrence,MO,29,10 - 25
Leake,MS,28,0 - 10
Seminole,GA,13,0 - 10
Cloud,KS,20,2 - 5
Alachua,FL,12,25 - 50
Carlisle,KY,21,0 - 10
Josephine,OR,41,10 - 25
Hamilton,KS,20,0 - 2
Newton,MS,28,0 - 10
Snohomish,WA,53,10 - 100
Talbot,GA,13,2 - 5
Broadwater,MT,30,2 - 5
Madison,IA,19,10 - 25
Mississippi,MO,29,2 - 5
Middlesex,NJ,34,100 - 200
Shelby,MO,29,2 - 5
Brown,TX,48,10 - 25
Highlands,FL,12,10 - 25
Pendleton,KY,21,10 - 25
