Company,Address,City,State,Zip,Feedstock,Capacity
POET Biorefining - Lake Crystal,19200 499th Avenue,Lake Crystal,MN,56055,Corn,56
POET Biorefining - Leipsic,3875 State Route 65,Leipsic,OH,45856,Corn,68
POET Biorefining - Macon,30211 Major Drive,Macon,MO,63552,Corn,46
POET Biorefining - Marion,1660 Hillman-Ford Rd.,Marion,OH,43302,Corn ,150
POET Biorefining - Mitchell,40509 247th Street,Mitchell,SD,57301,Corn ,68
POET Biorefining - North Manchester,868 E. 800 N,North Manchester,IN,46962,Corn,68
POET Biorefining - Portland,1542 S. 200 West,Portland,IN,47371,Corn,68
POET Biorefining - Preston,701 N. Industrial Drive,Preston,MN,55965,Corn,46
POET Research Center,851 Washington St.,Scotland,SD,57059,Corn,11
"Prairie Horizon Agri-Energy, LLC",1664 East 100 Road,Phillipsburg,KS,67661,Corn,40
Pratt Energy,10333 NE 30th Street,Pratt,KS,67124,Corn,55
Project Liberty,4724 380th Street,Emmetsburg,IA,50536,cellulosic biomass,20
Quad County Corn Processors,6059 159th Street,Galva,IA,51020,Corn/cellulosic biomass,38
Redfield Energy,38650 171st Street,Redfield,SD,57469,Corn,60
"Red River BioRefinery, LLC","",Grand Forks,ND,,waste sugars/starch,0
Red River Energy LLC,Co Rd 7,Rosholt,SD,57260,Corn,25
"Red Trail Energy, LLC",3682 Hwy 8 South,Richardton,ND,58652,Corn,50
Reeve Agri-Energy,5665 S. Old Highway 83,Garden City,KS,67846,Corn/sorghum,12
Ringneck Energy,215 South Main,Onida,SD,57564,Corn,0
Russell Ethanol,1224 E 15th S,Russell,KS,67665,sorghum,55
"Show Me Ethanol, LLC",26530 E. Highway 24,Carrollton,MO,64633,Corn,60
Siouxland Energy Cooperative,3890 Garfield Avenue,Sioux Center,IA,51250,Corn,60
Siouxland Ethanol,1501 Knox Blvd.,Jackson,NE,68743,Corn,80
"South Bend Ethanol, LLC",3201 West Calvert,South Bend,IN,46680,Corn,102
"Southwest Iowa Renewable Energy, LLC",10868 189th St.,"Council Bluffs, IA",IA,51503,Corn,130
"Sterling Ethanol, LLC",450 Angus Avenue,Sterling,CO,80751,Corn,42
Summit Natural Energy,535 North 4th Avenue,Cornelius,OR,97113,waste sugars/starch,2
Sunoco Ethanol,100 N. 2nd St.,Fulton,NY,13069,Corn,85
Tate & Lyle,198 Blair Bend Drive,Loudon,TN,37774,Corn,105
Tharaldson Ethanol,3549 153rd Ave. SE,"Casselton, ND",ND,58012,Corn,153
The Andersons Albion Ethanol LLC,26250 B Drive North,Albion,MI,49224,Corn,136
The Andersons Clymers Ethanol LLC,3389 W 300 S,Clymers,IN,46947,Corn,110
The Andersons Denison Ethanol LLC,2404 Hwy 30 W,Denison,IA,51442,Corn,55
The Andersons Marathon Ethanol LLC,5728 Sebring Warner Road N,Greenville,OH,45331,Corn,110
"Three Rivers Energy, LLC",18137 County Road 271,Coshocton,OH,43812,Corn,50
"Trenton Agri Products, LLC",36638 US Highway 34,Trenton,NE,69044,Corn,40
"United Ethanol, LLC",1250 Chicago Street,Milton,WI,53563,Corn,50
"United Wisconsin Grain Producers, LLC",W1231 Tessmann Dr.,Friesland,WI,53935,Corn,58
Valero Renewable Fuels,2356 510th Street,Albert City,IA,50510,Corn,130
Valero Renewable Fuels,2615 260th St,Albion,NE,68620,Corn,130
Valero Renewable Fuels,One VeraSun Place,Aurora,SD,57002,Corn,135
Valero Renewable Fuels,3979 State Route 238 NE,Bloomingburg,OH,43106,Corn,130
Valero Renewable Fuels,1787 Quarry Road,Charles City,IA,50616,Corn,135
Valero Renewable Fuels,1930 Hayes Avenue,Fort Dodge,IA,50501,Corn,135
Valero Renewable Fuels,3260 Van Buren Avenue,Hartley,IA,51346,Corn,135
Valero Renewable Fuels,N5355 Junction Road,Jefferson,WI,53549,Corn,105
Valero Renewable Fuels,203 West CR 1100 North,Linden,IN,47955,Corn,130
Valero Renewable Fuels,7201 Port Road,Mount Vernon,IN,47620,Corn,100
Valero Renewable Fuels,1444 120th Street,Welcome,MN,56181,Corn,135
Verbio North America Corp.,"59219 W Lincoln Hwy, ",Nevada,IA,50201,cellulosic biomass,30
"Western New York Energy, LLC",4141 Bates Rd.,Medina,NY,14103,Corn,65
Western Plains Energy,3022 County Road 18,Campus,KS,67748,Corn,50
White Energy,99 S Progressive Road,Hereford,TX,79045,Corn/sorghum,120
White Energy,2698 E US Highway 70,Plainview,TX,79072,Corn,120
Yuma Ethanol,38480 County Road H,Yuma,CO,80759,Corn,40
